Sq_Ft,price
1672,150
1750,149
1750,150
1250,40
1200,83
1170,40
1425,65
947,43
1130,36
1417,76
1230,58
1705,75
1116,47
991,40
550,27
1450,70
700,25.5
440,28
510,25.25
510,25.25
2400,480
1540,85
600,45
3150,150
1250,67
2850,428
1630,194
1875,235
1200,130
1235,148
2750,413
2450,368
1415,110
860,65.5
3000,300
2350,210
1000,45
3000,500
1875,167
2065,210
2059,225
1394,100
1077,93
1566,180
840,50
1590,131
2180,210
1180,88.5
1200,86
1394,85
2077,175
1205,85
900,75
1400,67
1200,55
940,56
3000,301
1480,90
1480,90
1550,110
1718,223
1000,97
2800,200
1000,55
1040,78
850,42.5
1450,50.75
1150,40.25
1350,47.25
1350,47.25
900,41
1681,69
1350,47.25
1150,40.25
1500,220
1500,230
2400,325
1056,80
1320,90
1300,95
1650,140
2150,240
2100,270
4500,345
2005,240
1567.2,190
1225,150
4500,500
1800,140
1269,97
1070,38.9
1080,38
2401,185
3900,333
1550,120
2100,220
2400,185
1206,56
1270,70
1312,69
1100,48
1075,60
1150,52.5
1256,62.8
1207,63
1725,100
1440,60
1700,100
2500,110
600,30
1390,65
1256,62.8
1000,48
1350,75
552,23.5
1200,51
1030,57
1200,68
1190,61.8
4000,170
1080,53
1041,54
812,42
1010,57
1075,60
1192,74
1180,80
3245,250
1645,100
1140,65
2040,200
1213,63
1216,60
1460,80
2003,200
1810,131
1515,135
1192,75
1280,88
1117,110
3000,400
3000,528
2400,408
1903,293
1080,72
1270,93
1420,100
1850,150
1245,94
1175,82
1400,95
2225,160
1050,71
1100,46
918,50.49
1450,100
1190,49.98
1420,96
1680,120
980,69
1180,72
1400,115
1270,83
2503,188
2200,190
1575,110
1850,140
1575,120
1850,150
1680,120
1175,82.5
1215,90
1050,75
1300,89.13
1130,73
1450,100
1050,50
1275,87
1650,110
850,42
1680,117
1850,150
1236,61.33
1000,53
1680,125
1675,135
1187,59
1850,155
1000,61
1460,100
1650,110
1200,62.5
1000,70.65
1080,75
1680,125
1460,97
1120,65
1100,60
1790,120
1680,117
1050,77
1050,75
1040,75
1400,95
1800,130
1050,68
1000,60
1680,125
1050,77.47
1270,80
1680,122
1130,85
1680,130
980,77.44
1680,112
2095,150
1976,145
1600,110
1765,118
1275,88
1450,102
1575,110
750,47
990,50
1000,60
1430,102
1128,60
1140,57
1420,90
1530,108
1100,110
1073.5,54.005
1062,42.47
1455,73.31
1098,43.91
1800,80
2700,130
1080,38
1059,34.5
1080,35
1062,42.47
500,31
1100,35
2100,92
1035,39.33
909,40.9
1431.5,72.02
1900,90
500,30
1125,36.94
1100,35
1089,43.55
1605,65
1504,83
2600,115
1089,43.55
1513,62
1298,59
1006,44
1245,59
1510,80
3300,165
1046,48
1408,80
1846,300
1410,233
1165,135
2400,290
700,150
1440,240
1005,50
1035,45
5000,290
1164,56
1005,42
1127,50
1005,43
835,37
1050,39
1466,71
1890,93
1079,60
1480,80
1073,52.36
1719.3,88
1780,88
890,45
1331.95,69
600,35
1500,85
1100,45
1028,42
1199,65
1080,55
1123,64
1308,60
1005,55
1450,85
1040,46.79
1936,110
1075,48.38
1650,80
1310,50
1100,38.45
1100,38.49
1190,41
1100,38.5
985,40.39
765,30
880,35
795,32.54
1005,39.59
1020,41.82
985,40.39
2500,81
795,32.54
1130,46.33
795,32.6
985,38.92
1000,41
995,40.8
1020,40.8
800,72
1350,120
2250,113
1053,51
1388,57
1070,54
1280,58
1662,85.1
1897,120
1410,75
1360,85
1410,80
1662,85
1662,85.5
1280,60
1666,95
1575,90
1430,75
1419,73
1280,60
1200,50
1092,60
1690,85
1897,93
1884,98
1314,68.8
1690,85
1265,67
1126,55
1662,90
1420,75
1412,88
1434,84
1890,100
1419,87
1300,54
1690,85
1113,52
1820,95
1100,48
1896,102
1300,66
1225,68
1179,51
1421,73
1893,95
900,45
4000,170
1300,49
1280,49
1260,49
1427,52
1693,108
1210,76
1519,67.23
1595,70.39
1230,50
595,40
1145,44
2400,130
1380,75
1320,58
1240,43.79
1050,38
1190,46.41
530,20
425,15
1355,61
1105,75
1800,110
1150,80
1250,66.25
1332,79
1730,120
1230,66.25
1351,77
1303,80
1607,112
770,43.82
1700,76
1060,58.5
1650,100
1607,112
1198,80
1468,140
1463,142
1910,190
1464,145
1935,130
1424,90
2225,169
1862,120
1850,139
1936,126
1862,119
1424,90
2150,125
3530,290
1856,120
1852,130
1850,120
1367,86
3565,255
1409,95
1950,120
1921,129
1920,121
1935,125
1852,122
1950,120
1852,125
1850,121
1425,94
2395,150
1605,100
1300,80
1175,83
900,40
1200,55
1900,135
924,45
900,60
1100,45
1200,55
1450,85
1200,55
1250,79
1190,50
1202,65
1340,75
2650,175
1450,90
1025,42
485,19.5
1350,67.5
1365,60
1000,51
1060,55
1135,55
3515,420
1080,75
1200,70
2010,125
1167,43.76
1000,55
1141,42.79
1200,58
1151,43.1
1141,42.75
900,48
1749,90
1151,42.9
1250,45
1151,43.16
1200,58
1200,66
1415,74
1200,50
1141,50
1200,37
1600,77
500,14
1100,31.5
982,24.55
500,14
900,22.5
908,26
937,35
960,37
500,14
1000,29.7
850,25.99
902,25.26
1470,54
810,25.5
890,27
1200,36
1319,42
1000,25
902,25
930,25.99
1074,26.85
500,14
1010,38
992,24.8
1200,36
600,16.5
925,40
530,18
1800,68
1200,36
1035,38.3
888,34
1200,36.1
700,19.4
1200,36
766,28
1150,45
1200,36
1200,36
400,11.5
456,15
1200,36
1200,36
2400,95
1200,36.1
1200,36.1
420,12.5
1140,52
1850,86
1070,39
1500,121
1070,37
950,40
1280,45
710,25
950,32
1800,55
1843,87.54
1076,30.13
950,30
1348,100
1105,50
540,22
1075,48
1567,100
610,28
1750,100
3198,200
2422,160
1750,100
3200,205
1728,95
